Participant,Condition,Block,Stimulus,Response,RT,Correct
1,1,1,stimuli/BLIJE/BM35HAS.JPG,space,0,True
1,1,1,stimuli/BLIJE/BF25HAS.JPG,space,0,True
1,1,1,stimuli/BLIJE/BM12HAS.JPG,space,0,True
1,1,1,stimuli/VERDRIETIGE/BF22SAS.JPG,space,0,False
1,1,1,stimuli/VERDRIETIGE/BF25SAS.JPG,space,0,False
1,1,2,stimuli/BLIJE/BF22HAS.JPG,space,0,False
1,1,2,stimuli/VERDRIETIGE/BF22SAS.JPG,space,0,True
1,1,2,stimuli/BLIJE/BM12HAS.JPG,space,0,False
1,1,2,stimuli/VERDRIETIGE/BM35SAS.JPG,space,0,True
1,1,2,stimuli/BLIJE/BM12HAS.JPG,space,0,False
